19, 18, 22, 18, 18, 18, 18, 18, 18, 18, 19, 18, 18, 18, 22, 
25, 24, 20, 0, 0, 0, 19, 18, 18, 26, 0, 0, 0, 0, 20, 
17, 0, 17, 22, 0, 0, 17, 0, 20, 0, 25, 24, 0, 0, 24, 
17, 0, 17, 0, 18, 18, 0, 24, 28, 0, 0, 0, 17, 20, 20, 
17, 0, 25, 24, 0, 0, 20, 0, 0, 0, 0, 0, 17, 20, 20, 
17, 0, 0, 0, 17, 0, 24, 26, 26, 22, 0, 19, 24, 28, 20, 
17, 0, 0, 0, 17, 20, 0, 0, 0, 21, 0, 21, 0, 0, 20, 
17, 0, 0, 0, 17, 20, 0, 0, 0, 21, 0, 21, 0, 0, 20, 
17, 0, 0, 0, 17, 0, 18, 18, 18, 20, 17, 17, 18, 22, 20, 
17, 0, 19, 18, 0, 0, 24, 24, 24, 20, 0, 17, 0, 20, 20, 
19, 18, 0, 0, 0, 20, 0, 0, 0, 17, 18, 0, 0, 20, 20, 
17, 0, 0, 0, 0, 20, 0, 0, 0, 25, 0, 0, 0, 0, 22, 
17, 0, 0, 24, 24, 28, 0, 0, 0, 0, 17, 0, 0, 0, 20, 
17, 0, 20, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 20, 
25, 24, 28, 24, 24, 24, 24, 24, 24, 24, 25, 24, 24, 24, 28, 
